group,taxon,ncrab.x,functional_group,respone_number,r_score_no_effect,r_score_decrease,r_score_increase,r_score_complex,pr_score_no_effect,pr_score_decrease,pr_score_increase,directional_score,evidence_score,agreement_score,normalized_agreement_score,confidence_score,raw_survival_scalar,relative_survival_scalar,oa_survival_response_curve_slope,oa_survival_response_curve_lower_bound_slope,oa_survival_response_curve_upper_bound_slope,rraw_survival_scalar,plot.group.num,plot.group,ncrab.y,pcrab,ngroup,outlier,subgroup,std_survival_scalar,eindex,eindex.rescaled,ed_JgAFDW,ed_JgWW,ed_taxon,std_ed,crab.risk
amphipod,Monocorophium acherusicum,43,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,43,0.7678571428571429,2,Monocorophium acherusicum,yes,0.4487179487179487,0.8893550412171611,0.8851107437697593,30050,NA,Corophiidae,1,1
barnacle,Balanus crenatus,22,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Arthropoda-2,Arthropoda,22,0.39285714285714285,2,Balanus crenatus,yes,0.6025641025641025,0.7193192840406545,0.7088065144651347,21878,NA,Balanus balanoides,0.4969529085872576,0.6322710849713471
Bacillariophyta,Pleurosigma,20,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,20,0.35714285714285715,17,Pleurosigma,yes,0.14743589743589744,0.38637852458553096,0.36359169039198824,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.46875594961817985
brown algae,Chordariaceae,19,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,19,0.3392857142857143,13,Chordariaceae,yes,0.03205128205128204,0.34079624499031413,0.31632899219586447,13805,NA,Chordariaceae,0,0.20227776624463684
Chlorophyta,Micromonas pusilla,16,Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,-0.09,unicellular taxa-17,unicellular taxa,16,0.2857142857142857,17,NA,yes,0.06410256410256411,0.2928169936765075,0.26658095645351926,25735,NA,Phytoplankton bloom,0.7343798091720529,0.5662116458981217
amphipod,Monocorophium insidiosum,15,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,15,0.26785714285714285,2,Monocorophium insidiosum,yes,0.4487179487179487,0.5225851571574105,0.5048196637342997,30050,NA,Corophiidae,1,0.8315114637820463
Bacillariophyta,Naviculales,12,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,12,0.21428571428571427,17,NA,yes,0.14743589743589744,0.2601071148578355,0.2326652079572352,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.41991497246329124
worm,Platynereis sp.,9,Carnivorous infauna,41,13.94,12.97,1.55,0.78,0.49,0.46,0.05,-0.4,28.46,0.7,0.4,1.34,-0.54,-0.39,0.39,0.05,0.73,0.54,Annelida-1,Annelida,9,0.16071428571428573,1,NA,no,0.4679487179487179,0.49477781302570734,0.4759871848630509,15030,NA,Polychaeta,0.07540781779008926,0.33189789485910764
worm,Platynereis sp. CMC02,9,Carnivorous infauna,41,13.94,12.97,1.55,0.78,0.49,0.46,0.05,-0.4,28.46,0.7,0.4,1.34,-0.54,-0.39,0.39,0.05,0.73,0.54,Annelida-1,Annelida,9,0.16071428571428573,1,NA,no,0.4679487179487179,0.49477781302570734,0.4759871848630509,15030,NA,Polychaeta,0.07540781779008926,0.33189789485910764
horse and gaper clams,Tresus,9,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,9,0.16071428571428573,10,NA,yes,0.9038461538461537,0.9180233937406705,0.9148359726334971,19811,NA,Spisula spp.,0.36971375807940904,0.7270296001307814
brown algae,Fucales,9,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,9,0.16071428571428573,13,NA,yes,0.03205128205128204,0.1638791210428708,0.13288971032783656,19415,NA,Fucus distichus,0.34533702677746997,0.24430745077028554
amphipod,Ampithoe valida,8,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,8,0.14285714285714285,2,NA,yes,0.4487179487179487,0.4709097161526291,0.45123917600860747,20930,NA,Ampithoe lacertosa,0.43859649122807015,0.44723629791608094
polychaete,Pseudopolydora paucibranchiata,7,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Annelida-1,Annelida,7,0.125,1,NA,no,0.4487179487179487,0.465803389319618,0.4459446013154915,15030,NA,Polychaeta,0.07540781779008926,0.3086906450083375
green algae,Ulvales,7,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Chlorophyta-4,Chlorophyta,7,0.125,4,NA,no,0.03205128205128204,0.12904373166152178,0.09677009302269589,20325,NA,Ulva spp.,0.4013542628501077,0.2778345760899706
bivalves,Modiolus modiolus,7,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,7,0.125,10,NA,yes,0.9038461538461537,0.9124488313447966,0.9090559005872694,22593,NA,Modiolus modiolus,0.5409664512157587,0.7827012386173797
red algae,Rhodomelaceae,7,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Rhodophyta-16,Rhodophyta,7,0.125,16,NA,no,0.03205128205128204,0.12904373166152178,0.09677009302269589,20325,NA,Polysiphonia spp.,0.4013542628501077,0.2778345760899706
Bacillariophyta,Nitzschia,7,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,7,0.125,17,NA,yes,0.14743589743589744,0.19329341388864876,0.16338837905980333,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.40148297703839075
polychaete,Pseudopolydora bassarginensis,6,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Annelida-1,Annelida,6,0.10714285714285714,1,NA,no,0.4487179487179487,0.4613321897921045,0.4413085682842322,15030,NA,Polychaeta,0.07540781779008926,0.3051130759031646
bivalves,Clinocardium nuttallii,6,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,6,0.10714285714285714,10,NA,yes,0.9038461538461537,0.9101744127689042,0.9066976341802655,22719,NA,Clinocardium ciliatum,0.5487226839027393,0.7842425597127555
brown algae,Fucus distichus,6,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,6,0.10714285714285714,13,NA,yes,0.03205128205128204,0.1118341473695111,0.07892606688585029,19415,NA,Fucus distichus,0.34533702677746997,0.23195397953762317
jelly fish,Phacellophora camtschatica,5,Gelatinous zooplankton,3,1.51,0,0.83,0,0.64,0,0.36,0.36,2.35,0.77,0.54,0.46,0.16,0.12,-0.12,-0.56,0.33,-0.16,Cnidaria-7,Cnidaria,5,0.08928571428571429,7,NA,no,0.01923076923076923,0.09133324291142467,0.05766938405308161,13891,NA,Semaeostomeae,0.005293936595875654,0
bivalves,Tellinidae,5,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,5,0.08928571428571429,10,NA,yes,0.9038461538461537,0.9082454561394707,0.90469756538555135,18371,NA,Macoma balthica,0.28107109879963066,0.6962164865433341
Bacillariophyta,Cymbellales,5,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,5,0.08928571428571429,17,NA,yes,0.14743589743589744,0.17236380892820474,0.14168719141860076,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.3969203913762693
Bacillariophyta,Rhizosoleniaceae,5,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,5,0.08928571428571429,17,NA,yes,0.14743589743589744,0.17236380892820474,0.14168719141860076,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.3969203913762693
polychaete,Eupolymnia heterobranchia,4,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Annelida-1,Annelida,4,0.07142857142857142,1,NA,no,0.4487179487179487,0.4543675145936053,0.4340871360771594,15030,NA,Polychaeta,0.07540781779008926,0.29954252245496477
annelid worm,Serpulidae,4,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Annelida-1,Annelida,4,0.07142857142857142,1,NA,no,0.4487179487179487,0.4543675145936053,0.4340871360771594,15030,NA,Polychaeta,0.07540781779008926,0.29954252245496477
amphipod,Grandidierella japonica,4,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,4,0.07142857142857142,2,NA,yes,0.4487179487179487,0.4543675145936053,0.4340871360771594,24545,NA,Grandidierella japonica,0.6611265004616805,0.573750004288364
crab,Hemigrapsus oregonensis,4,Crabs,145,50.63,47.39,2.13,2.25,0.51,0.47,0.02,-0.45,100.15,0.73,0.46,2.12,-0.96,-0.7,0.7,0.45,0.95,0.96,Arthropoda-2,Arthropoda,4,0.07142857142857142,2,NA,yes,0.7371794871794871,0.7406319174424892,0.7309048511253582,28605,NA,Hemigrapsus oregonensis megalope,0.9110495537088334,0.8689321166821543
tunicate,Botrylloides,4,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Chordata-5,Chordata,4,0.07142857142857142,5,NA,no,0.6025641025641025,0.6067829418459362,0.5921214512239621,20040,NA,Urichordates,0.3838104032009849,0.5070082955181996
marine snails,Haminoea,4,Sea stars moonsnail whelk,80,22.28,20.04,6.86,1.97,0.45,0.41,0.14,-0.27,49.18,0.64,0.28,1.08,-0.29,-0.21,0.21,-0.16,0.58,0.29,Mollusca-10,Mollusca,4,0.07142857142857142,10,NA,yes,0.30769230769230765,0.3158743374023035,0.29048832325030705,24280,NA,Gastropoda,0.6448137888581101,0.5082548754445135
brown algae,Ectocarpaceae,4,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,4,0.07142857142857142,13,NA,yes,0.03205128205128204,0.07829000892487728,0.04414530327252536,21295,NA,Ectocarpus dimorphus,0.4610649430594029,0.31722130159871986
Bacillariophyta,Ditylum brightwellii,4,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,4,0.07142857142857142,17,NA,yes,0.14743589743589744,0.1638273013543683,0.13283598027484098,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.3952339737805162
Bacillariophyta,Haslea,4,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,4,0.07142857142857142,17,NA,yes,0.14743589743589744,0.1638273013543683,0.13283598027484098,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.3952339737805162
Bacillariophyta,Navicula,4,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,4,0.07142857142857142,17,NA,yes,0.14743589743589744,0.1638273013543683,0.13283598027484098,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.3952339737805162
Bacillariophyta,Pseudo-nitzschia,4,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,4,0.07142857142857142,17,NA,yes,0.14743589743589744,0.1638273013543683,0.13283598027484098,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.3952339737805162
polychaete,Rhynchospio arenincola,3,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Annelida-1,Annelida,3,0.05357142857142857,1,NA,no,0.4487179487179487,0.45190452029253625,0.43153334198559723,15030,NA,Polychaeta,0.07540781779008926,0.2975731896274547
amphipod,Ampithoe lacertosa,3,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,3,0.05357142857142857,2,NA,yes,0.4487179487179487,0.45190452029253625,0.43153334198559723,20930,NA,Ampithoe lacertosa,0.43859649122807015,0.4362954222730517
shrimp,Crangon,3,Crangon shrimp,17,4.21,5.08,0,0,0.45,0.55,0,-0.55,9.28,0.75,0.5,1.12,-0.61,-0.45,0.45,0.08,0.81,0.61,Arthropoda-2,Arthropoda,3,0.05357142857142857,2,NA,yes,0.5128205128205129,0.515611070797241,0.49758847341732865,23490,NA,Decapoda (zoea),0.5961834410587873,0.5625184257724928
krill,Euphausiacea,3,Large zooplankton,10,2.43,4.89,0.72,0,0.3,0.61,0.09,-0.52,8.04,0.68,0.36,0.75,-0.39,-0.28,0.28,-0.13,0.69,0.39,Arthropoda-2,Arthropoda,3,0.05357142857142857,2,NA,yes,0.3717948717948718,0.37563456264320094,0.35245164572506316,26475,NA,Euphausia lucens,0.7799322868574946,0.6246085651696545
copepod,Paracalanus sp.,3,Mesozooplankton,55,12.69,25.59,0,0,0.33,0.67,0,-0.67,38.28,0.78,0.56,2.03,-1.36,-0.99,0.99,0.73,1.25,1.36,Arthropoda-2,Arthropoda,3,0.05357142857142857,2,NA,yes,0.9935897435897436,0.9950329022328439,0.9946844837307647,22610,NA,Calanus helgolandicus,0.5420129270544783,0.8413550587771429
copepod,Paracalanus sp. C AC-2013,3,Mesozooplankton,55,12.69,25.59,0,0,0.33,0.67,0,-0.67,38.28,0.78,0.56,2.03,-1.36,-0.99,0.99,0.73,1.25,1.36,Arthropoda-2,Arthropoda,3,0.05357142857142857,2,NA,yes,0.9935897435897436,0.9950329022328439,0.9946844837307647,22610,NA,Calanus helgolandicus,0.5420129270544783,0.8413550587771429
bryozoan,Membranipora membranacea,3,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Bryozoa-3,Bryozoa,3,0.05357142857142857,3,NA,no,0.6025641025641025,0.6049408199634622,0.5902114183922347,20750,NA,Bryozoa and Brachiopoda,0.4275161588180979,0.5251262182865397
bivalves,Limecola,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,3,0.05357142857142857,10,NA,yes,0.9038461538461537,0.9054323651061236,0.9017807680316678,18371,1.76,Macoma balthica,0.28107109879963066,0.6940364556297646
bivalves,Saxidomus,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,3,0.05357142857142857,10,NA,yes,0.9038461538461537,0.9054323651061236,0.9017807680316678,20404,NA,Venus spp.,0.40621729763004,0.7288551607606769
bivalves,Mytilus trossulus,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,3,0.05357142857142857,10,NA,yes,0.9038461538461537,0.9054323651061236,0.9017807680316678,23300,NA,Mytilus edulis,0.5844875346260388,0.7958447082472198
venus clams,Veneridae,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,3,0.05357142857142857,10,NA,yes,0.9038461538461537,0.9054323651061236,0.9017807680316678,20404,NA,Venus spp.,0.40621729763004,0.7288551607606769
brown algae,Ralfsiaceae,3,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,3,0.05357142857142857,13,NA,yes,0.03205128205128204,0.06242741897847858,0.02769792925123618,17405,NA,Ralfsia sp.,0.22160664819944598,0.12948286148428795
brown algae,Sargassum,3,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,3,0.05357142857142857,13,NA,yes,0.03205128205128204,0.06242741897847858,0.02769792925123618,19415,NA,Fucus distichus,0.34533702677746997,0.22585206609687003
Bacillariophyta,Bacillariaceae,3,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,3,0.05357142857142857,17,NA,yes,0.14743589743589744,0.15686695576797602,0.12561903729367202,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.393935022759724
NA,Cryptomonas curvata,3,Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,-0.09,unicellular taxa-17,unicellular taxa,3,0.05357142857142857,17,NA,yes,0.06410256410256411,0.08354062894009724,0.04958949060421616,25735,NA,Phytoplankton bloom,0.7343798091720529,0.5308189499845318
NA,Heterosigma akashiwo,3,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,3,0.05357142857142857,17,NA,yes,0.14743589743589744,0.15686695576797602,0.12561903729367202,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.393935022759724
Bacillariophyta,Pinnularia sp.,3,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,3,0.05357142857142857,17,NA,yes,0.14743589743589744,0.15686695576797602,0.12561903729367202,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.393935022759724
Bacillariophyta,Thalassiosirales,3,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,3,0.05357142857142857,17,NA,yes,0.14743589743589744,0.15686695576797602,0.12561903729367202,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.393935022759724
